	Bcell_HPCA	DC_HPCA	Fibroblasts_HPCA	MSC_HPCA	Macrophage_HPCA	Monocyte_HPCA	NK cells_HPCA	Tcell_HPCA	Adipocytes_ENCODE	CD4+ Tcell_ENCODE	CD8+ T-cells_ENCODE	Bcell_ENCODE	DC_ENCODE	Eosinophils_ENCODE	Fibroblasts_ENCODE	Macrophage_ENCODE	Monocyte_ENCODE	NK cells_ENCODE
A1BG	7.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	5.0	7.0	9.0	8.0	7.0	8.0	7.0	8.0	8.0	4.0
A1BG-AS1	6.0	6.0	5.0	5.0	5.0	6.0	5.0	6.0	4.0	5.0	6.0	6.0	7.0	6.0	6.0	6.0	4.0	2.0
A1CF	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
A2M	3.0	10.0	9.0	3.0	10.0	5.0	3.0	4.0	9.0	1.0	3.0	1.0	10.0	1.0	7.0	10.0	3.0	1.0
A2M-AS1	2.0	3.0	3.0	2.0	3.0	3.0	7.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
A2ML1	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
A4GALT	7.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	7.0	1.0	1.0	3.0	5.0	1.0	7.0	3.0	2.0	1.0
A4GNT	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AAAS	9.0	8.0	8.0	8.0	8.0	8.0	7.0	8.0	8.0	8.0	8.0	9.0	8.0	8.0	9.0	8.0	8.0	8.0
AACS	8.0	8.0	9.0	9.0	7.0	7.0	8.0	8.0	8.0	6.0	6.0	7.0	7.0	8.0	8.0	6.0	5.0	7.0
AACSP1	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
AADAC	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
AADACL2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AADACL3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AADACL4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AADACP1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
AADAT	2.0	2.0	4.0	6.0	2.0	2.0	2.0	2.0	4.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0
AAED1	7.0	9.0	9.0	8.0	9.0	9.0	9.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
AAGAB	7.0	7.0	8.0	7.0	7.0	7.0	8.0	8.0	7.0	8.0	8.0	8.0	9.0	8.0	8.0	8.0	8.0	9.0
AAK1	4.0	4.0	4.0	5.0	4.0	4.0	5.0	6.0	9.0	10.0	9.0	3.0	8.0	9.0	9.0	8.0	8.0	9.0
AAMDC	7.0	7.0	9.0	9.0	7.0	7.0	6.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
AAMP	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	9.0	10.0	9.0	9.0	10.0	9.0	9.0	9.0
AANAT	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AAR2	8.0	8.0	9.0	9.0	8.0	9.0	9.0	9.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
AARS	10.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	9.0	8.0	8.0	9.0	10.0	7.0	10.0	9.0	6.0	8.0
AARS2	7.0	7.0	6.0	6.0	7.0	7.0	7.0	7.0	5.0	7.0	7.0	7.0	6.0	7.0	6.0	6.0	3.0	6.0
AARSD1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.0	9.0	9.0	9.0	7.0	7.0	8.0	7.0	8.0	8.0
AASDH	8.0	7.0	6.0	7.0	7.0	7.0	8.0	8.0	6.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0
AASDHPPT	9.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	8.0	8.0	8.0	8.0	8.0	7.0	9.0	8.0	8.0	8.0
AASS	3.0	2.0	6.0	5.0	2.0	2.0	4.0	3.0	9.0	3.0	3.0	3.0	1.0	1.0	7.0	1.0	2.0	2.0
AATBC	4.0	4.0	2.0	2.0	5.0	8.0	2.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
AATF	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	8.0	9.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	9.0
AATK	7.0	7.0	6.0	6.0	7.0	8.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	4.0	5.0	6.0
AATK-AS1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABAT	6.0	7.0	6.0	5.0	6.0	6.0	7.0	5.0	4.0	6.0	6.0	3.0	6.0	8.0	4.0	6.0	7.0	6.0
ABCA1	6.0	9.0	9.0	6.0	10.0	8.0	4.0	5.0	9.0	5.0	2.0	4.0	7.0	10.0	8.0	8.0	9.0	1.0
ABCA10	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.0	3.0	1.0	4.0	6.0	1.0	2.0	1.0	1.0	1.0
ABCA11P	6.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ABCA12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCA13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	8.0	1.0	1.0	2.0	1.0
ABCA17P	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ABCA2	5.0	6.0	6.0	5.0	5.0	5.0	6.0	6.0	7.0	7.0	8.0	6.0	6.0	8.0	7.0	6.0	5.0	10.0
ABCA3	6.0	6.0	6.0	5.0	6.0	6.0	7.0	6.0	5.0	4.0	3.0	1.0	6.0	1.0	1.0	2.0	1.0	6.0
ABCA4	4.0	4.0	3.0	3.0	4.0	4.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
