,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
IRF1,9,9,7,6,9,9,10,10,8,10,10,10,10,10,7,8,10,10
AHR,7,10,9,9,10,10,9,8,10,9,8,4,10,9,9,9,10,7
STAT5A,9,10,7,4,9,9,10,10,9,10,10,9,10,9,8,9,9,9
ATF5,6,9,8,6,7,7,6,5,6,6,5,8,10,6,7,8,7,6
TFEC,3,9,1,2,10,9,3,2,5,1,3,5,9,1,1,10,9,1
ATF3,7,9,7,7,9,9,7,7,6,1,4,1,10,1,4,10,9,3
STAT3,9,10,10,9,10,10,10,10,10,10,10,9,10,10,10,9,10,10
MAFF,6,10,10,9,10,7,10,7,9,6,7,5,9,6,8,9,8,9
STAT1,9,10,10,9,10,10,9,10,9,10,10,9,10,9,10,10,9,9
ETV6,6,9,6,6,8,9,7,6,7,7,6,7,10,10,6,8,9,7
BCL6,8,9,7,7,9,9,8,6,10,7,7,6,10,10,8,9,10,7
IRF9,10,10,10,9,10,10,10,10,9,10,10,10,10,10,9,9,10,10
JUNB,9,10,9,8,10,10,9,9,10,10,10,10,10,10,10,9,10,10
IRF8,10,10,5,5,10,10,10,8,7,5,5,9,9,6,1,10,10,10
NFKB1,10,10,9,9,10,10,10,10,8,10,9,8,10,8,8,8,9,9
HIF1A,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9
IRF5,7,9,5,4,9,8,6,6,5,2,1,9,10,8,1,9,9,7
SPI1,6,9,4,4,9,9,4,4,6,1,3,9,10,10,1,10,9,1
FOSL2,4,9,8,8,8,8,9,6,10,7,8,1,9,10,9,8,10,10
KLF13,9,9,8,7,8,9,10,9,9,10,10,10,10,10,8,9,10,10
IRF2,9,9,7,7,9,9,8,9,8,9,9,9,9,9,8,9,8,9
BHLHE40,5,10,7,7,9,8,10,8,8,6,8,4,10,10,8,9,10,10
XBP1,9,10,10,9,9,10,10,10,10,10,9,9,10,8,10,10,10,10
BATF3,6,10,7,6,8,8,8,7,3,1,2,1,10,1,2,5,7,1
