,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE,tscore
FLI1,8,7,5,6,7,9,9,8,7,9,9,9,8,10,6,9,9,10,0.9703702343064936
ELF4,9,9,9,8,9,10,10,9,6,7,7,6,9,9,7,7,9,9,-0.8389104678570534
IKZF1,9,8,5,4,7,8,9,9,5,10,10,10,10,10,1,9,9,10,0.8100077988625918
HIF1A,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,-1.4608843511807752
TGIF1,6,8,8,7,8,8,7,7,9,9,8,8,10,7,10,9,9,8,2.9080311091701763
IRF7,9,9,7,6,8,10,9,8,6,8,8,10,9,10,6,7,9,9,0.0
FOS,9,8,9,6,8,10,7,8,9,10,10,10,9,10,8,9,10,10,0.4486810106976375
HLX,6,10,8,7,9,9,5,5,7,1,3,2,10,9,7,8,8,1,-1.5704795162630218
MITF,5,8,6,6,8,7,4,5,7,1,1,1,8,1,5,10,7,1,-1.2933554501106552
RUNX1,5,5,5,5,5,5,5,5,8,9,9,8,9,10,8,7,9,8,-0.3342960376708741
CREM,6,7,6,6,7,6,9,7,8,8,9,8,9,7,7,9,9,10,-1.606558724650848
RFX5,10,9,8,8,9,9,9,9,7,9,9,9,10,9,8,9,9,9,1.1259403784960036
BACH1,5,6,5,6,6,7,6,4,9,9,8,9,9,10,9,10,10,8,0.9433108878421622
NFATC1,8,7,6,6,7,8,7,8,5,8,7,8,6,10,5,6,7,7,-0.5006380732897597
ETV7,5,5,5,4,5,5,4,4,1,1,3,6,6,1,1,1,1,1,0.426818346820944
CEBPB,9,10,10,10,10,10,10,10,10,6,7,7,7,9,9,10,9,8,0.1070809843617161
CBFB,10,9,9,9,9,9,10,10,9,9,9,9,9,9,9,9,9,10,-2.133404381514507
ELF1,10,10,9,8,10,10,10,10,9,10,10,10,9,10,9,9,10,10,0.0
FOSL1,4,6,9,10,6,5,4,4,6,1,1,1,1,1,8,2,7,1,0.3126729563508804
