,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
AHR,7,10,9,9,10,10,9,8,10,9,8,4,10,9,9,9,10,7
TFEC,3,9,1,2,10,9,3,2,5,1,3,5,9,1,1,10,9,1
RFX5,10,9,8,8,9,9,9,9,7,9,9,9,10,9,8,9,9,9
STAT3,9,10,10,9,10,10,10,10,10,10,10,9,10,10,10,9,10,10
STAT1,9,10,10,9,10,10,9,10,9,10,10,9,10,9,10,10,9,9
MAFB,6,10,8,7,10,10,7,6,9,1,1,1,6,1,4,9,9,1
NR3C1,10,9,9,9,10,10,10,10,9,10,9,9,9,9,9,9,10,10
STAT6,10,10,9,9,10,10,9,9,10,10,10,9,10,10,10,10,10,10
LMO2,10,9,6,4,9,10,7,5,5,1,3,4,7,8,2,9,9,1
BCL6,8,9,7,7,9,9,8,6,10,7,7,6,10,10,8,9,10,7
IRF9,10,10,10,9,10,10,10,10,9,10,10,10,10,10,9,9,10,10
JUNB,9,10,9,8,10,10,9,9,10,10,10,10,10,10,10,9,10,10
CEBPB,9,10,10,10,10,10,10,10,10,6,7,7,7,9,9,10,9,8
CEBPA,6,10,5,5,10,9,7,6,8,1,4,1,9,7,2,10,6,4
ELF1,10,10,9,8,10,10,10,10,9,10,10,10,9,10,9,9,10,10
IRF2,9,9,7,7,9,9,8,9,8,9,9,9,9,9,8,9,8,9
