,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
IRF1,9,9,7,6,9,9,10,10,8,10,10,10,10,10,7,8,10,10
STAT5A,9,10,7,4,9,9,10,10,9,10,10,9,10,9,8,9,9,9
RUNX3,9,9,2,4,8,9,10,10,2,8,9,8,8,10,1,5,8,10
STAT3,9,10,10,9,10,10,10,10,10,10,10,9,10,10,10,9,10,10
STAT1,9,10,10,9,10,10,9,10,9,10,10,9,10,9,10,10,9,9
ETS1,9,6,8,8,5,6,10,10,9,10,10,10,8,10,9,3,6,10
NR3C1,10,9,9,9,10,10,10,10,9,10,9,9,9,9,9,9,10,10
JUNB,9,10,9,8,10,10,9,9,10,10,10,10,10,10,10,9,10,10
IKZF1,9,8,5,4,7,8,9,9,5,10,10,10,10,10,1,9,9,10
IRF9,10,10,10,9,10,10,10,10,9,10,10,10,10,10,9,9,10,10
IRF8,10,10,5,5,10,10,10,8,7,5,5,9,9,6,1,10,10,10
NFKB1,10,10,9,9,10,10,10,10,8,10,9,8,10,8,8,8,9,9
STAT4,5,8,5,7,7,7,10,10,6,10,9,3,7,6,2,5,5,10
HIF1A,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9
ELF4,9,9,9,8,9,10,10,9,6,7,7,6,9,9,7,7,9,9
FLI1,8,7,5,6,7,9,9,8,7,9,9,9,8,10,6,9,9,10
FOSL2,4,9,8,8,8,8,9,6,10,7,8,1,9,10,9,8,10,10
MYBL1,7,4,6,7,3,4,10,8,2,6,8,5,1,6,4,1,2,10
HBP1,9,10,10,9,10,10,10,10,10,10,10,10,10,10,9,10,10,10
XBP1,9,10,10,9,9,10,10,10,10,10,9,9,10,8,10,10,10,10
IRF3,10,9,8,9,9,9,9,9,8,10,10,10,10,10,9,9,8,10
