,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
TM4SF1,2,4,5,10,4,2,2,2,10,1,1,1,6,1,8,1,1,1
COL4A2,3,5,10,10,4,3,3,3,10,1,1,1,1,1,10,2,1,1
COL5A2,3,3,10,10,2,2,3,3,9,1,1,3,1,1,10,1,1,1
WWTR1,3,3,8,9,4,3,3,3,9,1,1,1,1,1,9,6,2,1
C1S,4,5,10,8,5,4,3,4,10,2,1,3,1,1,10,3,1,1
IGFBP4,5,6,10,10,6,5,7,6,10,1,3,2,8,1,10,1,1,1
CD36,2,8,7,3,9,9,2,3,10,1,1,1,10,6,4,10,10,1
GPNMB,4,10,10,7,10,7,2,3,10,1,1,1,9,1,9,10,4,1
FHL1,4,5,10,10,5,5,6,6,10,7,6,4,5,1,9,7,3,1
CLU,5,5,8,8,6,5,5,4,10,3,3,1,7,8,10,7,8,2
EMP1,3,9,10,10,10,7,5,3,10,1,1,1,6,1,10,10,7,1
THBS1,3,5,10,10,5,8,6,4,10,2,3,1,1,10,10,5,10,6
FN1,6,9,10,10,9,8,6,6,10,2,1,1,10,1,10,8,2,1
CFD,5,9,7,4,9,9,5,5,10,1,4,1,5,10,8,9,9,1
DAB2,3,9,10,10,10,8,7,4,10,1,1,1,7,6,10,10,7,8
PLAUR,5,10,9,9,10,10,6,6,9,1,3,1,9,10,9,10,10,2
CALHM2,7,9,9,7,9,9,8,8,9,5,4,4,6,5,9,9,8,8
MT1X,7,9,9,9,8,9,8,9,10,8,8,6,8,8,9,8,8,8
BLVRB,8,10,9,9,10,10,8,8,10,6,5,7,9,6,9,10,10,7
SAMHD1,6,9,5,6,9,9,8,9,10,10,10,7,9,7,8,10,10,10
LGALS3,9,10,10,10,10,10,10,9,10,5,6,5,10,8,10,10,10,4
TIMP1,7,10,10,10,10,10,9,9,10,8,7,5,9,7,10,8,10,8
NAMPT,7,9,9,8,9,10,9,7,10,9,9,8,10,10,9,9,10,8
SGK1,9,10,10,10,10,10,8,8,10,8,8,8,9,10,9,10,10,4
ANXA1,4,10,10,10,10,10,10,10,10,10,9,1,10,10,10,10,10,10
SOD2,7,9,9,8,10,10,8,8,10,10,9,9,10,10,10,10,10,9
CTSB,8,10,10,10,10,10,7,8,10,9,8,9,10,10,10,10,10,8
CASP4,9,9,9,8,9,10,10,9,10,10,10,10,9,7,10,10,10,10
CTSC,8,10,9,9,10,9,10,9,10,9,10,8,10,10,9,10,10,10
IFITM1,9,7,10,8,7,9,10,10,9,10,10,9,8,10,9,1,8,10
LIPA,10,10,10,10,10,10,10,10,10,9,9,8,10,8,9,10,10,9
IFI16,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,9,9,10
GSTO1,10,10,10,10,10,10,10,10,10,9,9,9,10,9,10,10,10,9
S100A4,8,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
CD44,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
TXNIP,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SRGN,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
ARL6IP5,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
HLA-E,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
NFKBIA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10
HLA-B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PSAP,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLA-A,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
RGS2,10,9,9,8,9,10,10,10,9,8,9,10,8,10,7,8,10,10
TPP1,10,10,9,9,10,10,9,9,9,7,8,9,9,10,9,10,10,8
SNX2,10,10,9,9,10,10,9,9,9,9,9,9,10,9,9,10,10,9
BTG1,10,10,10,10,10,10,10,10,9,10,10,10,10,10,7,9,10,10
COTL1,10,10,10,10,10,10,10,10,9,10,10,9,10,10,10,10,10,8
EMP3,8,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10
