,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE,tscore
TCIRG1,9,10,9,9,10,10,10,9,10,9,9,10,10,10,9,10,10,10,2.28310063444309
IFI16,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,9,9,10,2.460842277052355
WAS,9,9,8,7,9,10,9,9,5,9,9,9,7,10,1,8,9,9,-2.31012095348752
CD52,10,10,3,3,10,10,10,10,5,10,10,10,10,10,1,10,10,10,2.385181235337828
KLF6,9,10,10,10,10,10,10,10,10,10,10,9,10,10,9,9,10,10,2.951024768802603
ARHGDIB,10,10,6,7,10,10,10,10,8,10,10,10,10,10,6,10,10,10,2.0408957753527264
CASP4,9,9,9,8,9,10,10,9,10,10,10,10,9,7,10,10,10,10,2.92268655118538
S100A4,8,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,2.3720542485383205
CD69,9,5,1,1,3,6,10,10,4,10,10,8,7,8,1,1,9,10,2.6741930595904115
CXCR4,10,10,2,3,9,10,10,10,6,10,10,10,10,10,2,9,10,10,2.578121970994776
FTL,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2.463592374710136
CD99,10,10,10,10,10,10,10,10,10,9,10,10,9,7,10,10,10,10,2.32335483905539
LGALS1,9,10,10,10,10,10,10,10,10,8,8,9,10,8,10,10,10,10,2.344049680092263
EMP3,8,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,2.00538637713286
CD74,10,10,6,6,10,10,9,9,8,10,10,10,10,10,2,10,10,10,2.1944296904506904
PTPN6,10,10,4,4,10,10,10,10,6,10,10,10,9,10,1,10,10,10,2.2565638697683967
ARPC1B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2.0096742344197414
CAPG,8,10,9,9,10,10,8,7,10,8,9,9,10,10,10,10,10,1,2.463702191180169
ARHGAP25,10,10,4,3,9,9,10,10,5,9,9,10,10,10,2,9,9,10,2.3747074797874
CD44,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2.485962139167273
FTH1,9,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,2.161561137329324
RAC2,10,10,8,9,10,10,10,10,7,10,10,10,9,10,7,10,10,10,2.2154071738735195
LAPTM5,10,10,5,4,10,10,10,10,8,10,10,10,10,10,1,10,10,10,2.6567165823061893
UBA7,9,9,8,7,9,9,9,9,8,10,10,10,9,10,8,9,9,10,2.32389302772117
ISG20,10,7,6,5,7,8,10,10,6,10,10,10,10,8,3,3,8,10,2.215823359979065
VAMP8,10,10,3,3,10,10,10,10,6,9,10,10,10,9,2,10,10,10,2.135988972695034
CORO1A,10,9,5,6,9,10,10,10,6,10,10,10,9,10,2,9,10,10,2.3595237742300657
CD47,9,9,8,8,8,8,9,9,9,10,10,10,10,9,9,10,9,10,3.2924606965822734
ENTPD1,8,7,3,3,7,8,4,4,5,1,3,9,7,10,1,9,9,1,2.0887783703965126
IFITM2,10,9,10,10,9,10,10,10,10,10,10,9,9,10,10,7,10,10,2.490466306278221
CD53,10,10,4,4,10,10,10,10,7,10,10,10,10,10,1,10,10,10,3.0459763220267546
FXYD5,8,9,9,8,9,9,9,10,9,10,10,10,7,9,9,10,10,10,2.588629682272266
IL4R,10,10,8,8,9,9,10,10,8,10,9,9,10,10,8,9,9,8,-3.0380479432437286
MCL1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2.179993738932295
TNFAIP8,10,10,9,9,10,10,10,10,9,10,10,10,10,9,7,9,9,10,3.0009383048879466
PYCARD,9,9,8,8,10,10,9,8,9,7,8,9,8,10,9,10,10,9,2.033376661632447
ARPC2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2.0283648054416243
UBE2L6,10,10,9,8,10,10,10,10,9,9,10,9,9,9,9,10,10,10,2.0064383782215005
LCK,9,4,3,3,5,6,10,10,1,10,10,8,6,7,1,1,3,10,-2.331433076076554
