,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
MMP12,2,10,3,2,6,2,1,2,2,1,1,1,10,1,1,2,1,1
CCL18,2,10,1,1,8,2,2,1,3,1,1,1,10,1,1,6,1,1
CD1B,4,9,3,3,6,5,4,5,1,1,2,1,9,1,1,2,2,1
MRC1,2,10,2,2,10,6,3,3,8,1,1,1,10,1,1,9,1,1
PLA2G7,2,10,3,2,10,9,1,1,3,1,1,1,9,1,1,10,7,1
FPR3,3,10,3,3,9,7,3,3,5,1,1,1,9,1,1,9,4,1
CLIC2,2,10,4,2,8,6,3,2,7,1,1,1,10,1,3,7,6,1
IL1R2,2,9,2,2,6,6,2,3,5,1,1,1,9,5,2,3,8,1
C1QB,3,10,4,3,9,5,3,3,8,1,1,1,10,1,1,9,4,1
CLEC10A,4,10,3,3,7,8,4,4,5,1,1,1,9,1,1,6,9,1
CCL22,7,10,5,5,9,8,6,6,2,1,1,1,10,1,1,9,1,1
C1QA,4,10,4,3,10,6,4,4,8,1,1,1,10,1,1,9,6,1
LILRB4,2,9,2,1,10,8,2,2,5,1,1,2,10,1,1,10,9,1
SPP1,4,10,7,7,10,6,2,3,7,1,1,1,10,1,2,10,3,1
TREM2,6,10,5,5,10,7,6,6,4,1,1,1,10,1,1,10,1,1
HSD11B1,4,9,4,4,9,5,4,4,6,1,1,1,10,1,5,8,1,1
F13A1,5,10,2,3,6,8,5,5,8,2,1,1,10,7,1,4,10,1
CD1C,9,10,5,4,7,8,5,7,1,1,1,7,10,1,1,3,8,1
CD86,7,10,2,2,9,9,4,3,5,1,1,5,10,1,1,10,10,1
CLEC7A,3,9,2,2,9,10,4,3,6,1,1,1,9,6,1,9,10,1
MMP9,6,10,6,4,10,8,7,6,4,1,1,1,9,9,1,9,5,1
CSF2RA,3,9,2,2,8,9,3,2,6,1,3,1,10,10,1,8,10,1
TMEM176B,5,10,5,4,10,9,4,5,7,1,1,1,10,7,2,9,9,1
GPNMB,4,10,10,7,10,7,2,3,10,1,1,1,9,1,9,10,4,1
AQP9,5,10,4,4,10,10,5,5,6,1,1,1,10,7,1,10,10,1
CSTA,5,10,7,2,10,10,5,5,5,1,4,1,10,6,3,10,10,1
FLVCR2,5,9,4,5,9,9,5,6,6,1,1,1,9,7,2,8,7,1
KYNU,8,10,5,5,10,10,6,6,6,1,1,5,10,1,1,10,10,1
TMEM176A,6,9,5,4,9,8,5,6,6,1,1,1,10,6,2,8,8,1
CYP1B1,3,10,8,10,10,9,5,3,9,1,1,1,9,1,9,9,8,1
HCK,6,10,3,3,10,10,5,5,6,1,3,5,10,10,1,10,10,1
APOE,6,9,6,5,10,7,6,6,10,1,2,1,10,1,6,10,2,1
SOCS1,6,9,5,5,6,5,8,4,5,6,5,6,9,8,4,3,3,4
C1orf54,6,10,9,9,10,9,7,8,5,6,1,1,9,1,5,9,7,1
FBP1,6,10,5,4,10,9,6,6,6,3,1,4,9,10,1,10,9,6
ADAP2,7,9,5,5,9,9,6,6,7,1,1,3,9,6,2,9,8,2
FGL2,5,10,4,2,9,9,7,5,7,4,4,2,10,9,3,8,10,9
NCF2,7,10,4,5,10,10,5,6,6,5,4,4,10,10,1,10,10,1
CD68,6,10,7,5,10,10,5,6,10,1,3,5,10,1,8,10,10,1
CSF2RB,10,10,6,3,10,10,7,6,5,1,2,8,10,10,2,8,9,1
CCL4,8,10,5,5,10,9,10,9,3,2,4,3,9,6,1,7,8,10
ITGAX,6,10,5,5,10,10,9,7,5,1,1,2,10,10,1,10,10,9
SLC38A6,4,10,8,8,10,7,3,4,8,7,7,4,9,1,8,10,7,6
SLAMF7,7,9,3,3,9,8,9,7,2,2,4,7,10,1,1,10,7,10
DRAM1,4,10,10,9,10,9,7,5,7,1,3,5,9,6,8,9,8,2
ANPEP,3,10,9,8,10,10,4,4,9,1,3,1,10,10,10,9,10,1
FN1,6,9,10,10,9,8,6,6,10,2,1,1,10,1,10,8,2,1
