,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
TGFA,4,7,4,3,5,5,5,4,1,1,2,1,8,9,2,4,4,6
SERPINA1,4,8,3,4,9,10,5,5,2,1,3,1,8,10,1,8,10,1
ALOX5,9,7,2,3,9,9,3,5,7,2,3,9,5,10,1,6,10,1
MMP9,6,10,6,4,10,8,7,6,4,1,1,1,9,9,1,9,5,1
PTAFR,9,10,5,5,10,10,6,7,5,1,2,4,8,10,1,8,9,1
CYBB,9,9,3,3,10,10,5,4,7,1,4,9,9,10,1,10,10,1
C3AR1,5,8,5,5,9,10,8,7,6,1,5,1,1,9,1,8,8,7
NCF2,7,10,4,5,10,10,5,6,6,5,4,4,10,10,1,10,10,1
ABCA1,6,9,9,6,10,8,4,5,9,5,2,4,7,10,8,8,9,1
TNFAIP2,6,9,6,5,9,9,5,6,9,1,3,2,10,10,9,10,10,1
NCF4,10,9,3,4,10,10,6,7,6,2,5,10,9,10,1,9,10,1
PTGS1,7,9,8,6,9,9,5,5,6,1,1,4,8,9,9,8,8,1
PLAUR,5,10,9,9,10,10,6,6,9,1,3,1,9,10,9,10,10,2
C1RL,6,6,7,6,6,6,6,7,9,8,7,7,7,10,9,6,8,8
FGL2,5,10,4,2,9,9,7,5,7,4,4,2,10,9,3,8,10,9
GCA,9,10,4,3,9,10,5,7,6,7,8,8,9,10,4,9,10,2
BCL2A1,9,8,2,2,10,10,9,9,4,8,7,5,10,10,1,10,10,7
IL32,5,6,5,5,6,6,9,9,6,10,10,1,9,9,5,2,5,10
DAPP1,9,9,3,3,8,9,7,7,3,7,6,9,10,9,1,8,9,1
LCP2,5,9,1,1,9,10,10,10,7,10,10,5,7,10,1,9,10,10
TYMP,6,10,7,5,10,9,7,5,9,3,4,8,10,10,8,10,9,7
LYN,10,10,6,6,10,10,10,6,5,1,4,9,10,10,3,9,10,9
PECAM1,7,9,3,4,9,10,7,8,8,7,9,9,8,10,3,10,10,8
RAB31,8,10,10,9,10,10,7,5,9,1,4,7,10,10,9,10,10,1
PLEK,10,10,4,4,10,10,10,8,6,4,7,9,10,10,1,10,10,10
INPP5D,10,8,4,4,8,9,10,9,6,10,10,10,9,10,1,8,10,10
MAP3K8,8,7,5,2,7,7,9,5,8,4,7,9,9,9,7,9,10,10
ARHGAP25,10,10,4,3,9,9,10,10,5,9,9,10,10,10,2,9,9,10
LGALS9,9,9,7,6,10,9,8,8,7,8,7,9,10,10,2,10,10,9
IFI30,10,10,9,8,10,10,9,9,9,1,3,10,10,10,5,10,10,6
PML,7,7,7,6,7,7,6,7,9,7,7,8,9,9,9,7,8,8
SELPLG,7,10,6,7,9,9,10,10,5,10,10,8,10,10,2,8,9,10
CXCR4,10,10,2,3,9,10,10,10,6,10,10,10,10,10,2,9,10,10
SOCS3,6,8,6,6,7,7,6,6,9,9,8,8,10,9,9,6,9,7
MX2,9,9,7,5,9,10,8,9,6,9,8,6,7,9,3,8,9,7
ICAM2,9,7,5,3,7,9,9,9,9,9,9,10,5,9,3,7,9,10
IFITM1,9,7,10,8,7,9,10,10,9,10,10,9,8,10,9,1,8,10
PTPN6,10,10,4,4,10,10,10,10,6,10,10,10,9,10,1,10,10,10
CORO1A,10,9,5,6,9,10,10,10,6,10,10,10,9,10,2,9,10,10
NINJ1,7,10,8,7,10,10,9,8,9,8,8,6,9,10,8,10,10,8
SLC16A3,6,10,10,10,10,10,8,5,7,6,7,8,10,10,10,10,9,9
PDE4B,9,7,5,7,6,8,9,9,6,10,9,9,8,9,6,5,10,8
CD53,10,10,4,4,10,10,10,10,7,10,10,10,10,10,1,10,10,10
ARRB2,7,10,5,6,10,10,9,9,8,10,10,8,10,10,5,10,10,10
ITGB2,10,10,5,4,10,10,10,9,8,10,10,10,10,10,1,10,10,10
LCP1,10,10,3,4,10,10,10,10,8,10,10,10,10,10,2,10,10,10
RGS19,10,10,8,8,10,10,9,9,7,8,9,9,7,10,6,9,9,9
LAPTM5,10,10,5,4,10,10,10,10,8,10,10,10,10,10,1,10,10,10
CTSS,10,10,5,3,10,10,10,10,8,10,9,10,10,10,3,10,10,10
CAPG,8,10,9,9,10,10,8,7,10,8,9,9,10,10,10,10,10,1
RAB27A,8,8,8,8,8,9,10,9,6,7,8,7,7,9,6,7,9,9
