,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE,tscore
PIK3IP1,8,8,8,6,8,8,9,10,8,10,10,8,8,8,7,9,8,10,2.7337616352357905
GADD45A,8,10,10,10,8,8,8,8,9,7,8,8,10,9,9,7,8,7,2.0442986934695915
CDC42EP3,8,7,10,10,8,9,9,9,7,6,7,7,6,7,8,8,9,8,-2.006353730767946
TRAF3IP3,9,8,3,3,6,9,10,10,2,10,10,10,8,10,1,7,10,10,-2.7665346860816165
AOAH,5,9,5,4,9,10,10,7,5,7,10,3,9,10,1,9,10,10,-2.003230173943404
NLRP3,3,7,3,3,5,8,4,4,4,1,2,1,1,6,1,6,10,1,-2.3077987093085945
PTP4A2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-2.7671238563988765
CCR2,3,5,2,2,4,8,4,6,1,3,4,2,1,7,1,4,8,1,-2.043860618972809
MX2,9,9,7,5,9,10,8,9,6,9,8,6,7,9,3,8,9,7,-2.576575195949717
RIPK2,8,9,8,9,9,9,9,8,7,7,7,7,10,9,7,8,10,8,-2.1650780238488347
IFI44L,4,5,5,4,5,8,7,7,7,7,7,3,8,1,3,3,8,4,-2.087838244982016
SCPEP1,10,10,9,9,10,10,8,8,9,7,7,10,10,10,9,10,10,7,2.223221147183788
MVP,8,10,9,10,10,9,9,9,10,10,10,9,10,10,10,10,9,10,2.679468668571966
ARHGEF6,10,9,7,7,9,9,10,10,9,10,10,9,8,10,6,7,9,9,-2.2622455969433517
OASL,5,7,5,4,6,8,10,8,2,2,4,1,6,7,1,4,8,7,-2.637210431320471
TNFAIP3,9,10,7,8,10,10,10,10,7,10,10,8,10,8,5,9,10,10,-2.094759609048233
PYGL,5,10,9,9,9,9,5,5,10,1,4,1,8,10,9,9,10,1,-2.1066160082591345
NFKBIZ,9,9,9,8,9,10,10,10,8,10,9,9,10,8,8,7,10,8,-2.3281407233725653
SFXN3,5,9,9,9,9,9,8,8,9,8,8,7,9,10,9,9,9,8,2.314480817556432
NDRG1,8,10,10,9,10,10,9,10,10,9,9,9,9,8,9,9,9,9,2.0490568255040853
SERPINB9,8,8,7,5,7,8,8,9,4,8,8,8,7,1,5,6,9,8,-2.5030174774631413
TRAFD1,8,9,8,7,8,9,8,8,8,8,8,8,10,9,9,9,9,9,2.3940775637256664
TNIP1,10,10,9,9,10,10,10,10,10,9,9,10,10,10,9,9,10,10,-2.5614390351438794
CD48,10,10,4,3,10,10,10,10,4,10,10,9,9,9,1,10,10,10,-2.3466289303876118
OAS2,8,8,5,4,7,9,8,9,6,9,9,9,9,6,3,7,8,9,-2.7252632994321577
