,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
CD160,3,2,1,1,2,3,9,5,1,1,4,1,1,1,1,1,2,10
KLRF1,3,3,1,2,2,5,10,6,1,1,4,1,6,1,1,1,3,10
LAIR2,3,2,2,3,3,3,9,7,1,4,3,1,1,1,1,3,3,9
CX3CR1,4,2,1,1,3,8,9,7,1,1,4,1,1,1,1,1,7,10
GZMH,4,3,3,3,4,5,10,8,1,2,4,1,6,6,1,1,4,10
GZMB,4,4,2,2,5,6,10,8,1,2,4,2,8,1,1,1,6,10
IL18RAP,5,4,3,2,4,5,10,8,2,2,6,1,7,6,1,1,3,10
NCR3,7,4,3,3,4,4,9,7,1,5,8,5,1,1,1,1,1,10
CD8A,5,6,4,4,5,6,10,8,1,1,10,1,5,6,1,1,2,9
KLRB1,5,4,2,2,4,6,10,9,1,8,9,1,6,5,1,1,3,10
F2R,1,1,9,8,1,2,9,5,7,3,4,1,6,1,9,1,2,9
SH2D1A,4,3,3,3,4,4,9,9,1,9,10,1,6,1,1,1,1,10
SH2D2A,6,5,4,4,5,6,10,9,1,7,8,1,5,6,1,1,2,10
CD96,4,3,2,2,3,4,10,9,2,10,10,4,6,8,1,1,3,10
GNLY,5,4,3,3,5,7,10,9,3,5,4,1,6,9,1,1,7,10
ITK,5,3,2,2,4,4,10,10,4,10,10,1,5,7,1,2,3,10
GZMM,5,4,4,4,5,5,10,8,1,9,10,1,7,6,1,1,3,10
GZMA,5,4,3,3,5,6,10,9,1,7,9,1,9,6,1,1,5,10
SKAP1,8,4,3,3,4,5,10,10,1,10,10,8,1,6,1,1,2,10
CD247,5,4,3,2,4,6,10,10,1,10,10,2,7,6,1,1,5,10
IL18R1,4,4,3,2,3,3,9,6,5,7,7,1,7,10,3,1,4,9
CD2,6,6,4,4,7,7,10,10,1,10,10,1,1,6,1,1,5,9
PVRIG,10,6,3,4,5,6,10,10,1,8,8,5,5,6,1,1,1,9
ZAP70,6,4,3,4,4,5,10,9,2,10,10,5,6,7,1,1,4,10
PRF1,6,6,5,4,6,7,10,9,2,7,9,1,8,7,1,1,4,10
CTSW,6,7,5,5,6,7,10,9,1,8,10,1,6,6,1,1,5,10
NKG7,4,5,4,2,5,7,10,8,1,6,9,2,9,10,1,4,8,10
LCK,9,4,3,3,5,6,10,10,1,10,10,8,6,7,1,1,3,10
IL2RB,8,7,6,5,7,8,10,10,1,7,8,3,7,6,1,1,2,10
MATK,6,8,5,5,8,7,10,7,3,6,9,1,7,6,1,10,2,10
