,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE,tscore
NAGK,10,10,10,10,10,10,9,9,9,9,9,10,9,10,9,10,10,8,-2.322648352923434
SAMD9L,8,9,7,5,8,8,8,8,6,8,8,9,10,8,6,8,7,9,-2.033700686978676
BST2,9,10,7,4,9,10,9,9,8,8,8,10,10,8,4,10,10,10,-2.376042810082677
WIPF1,10,10,8,7,9,10,10,10,8,10,10,10,10,10,7,9,10,10,3.171413297500698
ITM2A,7,3,4,3,4,5,10,10,7,10,10,7,1,9,3,1,4,10,2.048577577710593
JAK1,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,-2.3355376904389824
PIK3CD,8,8,6,6,7,8,9,9,5,10,10,8,8,10,6,8,9,10,2.0303139998301054
GLRX,10,10,10,9,10,10,10,10,10,9,9,9,9,9,9,10,10,10,-2.2326335848399195
PTPN22,7,5,1,2,6,6,9,8,2,9,9,6,6,9,1,8,9,10,2.1614835400597148
SP110,10,8,8,8,9,9,10,10,7,10,10,9,9,10,7,8,9,10,-2.194945604854656
IL16,9,7,4,5,6,8,9,9,7,10,10,10,7,10,2,8,9,10,-2.643118656474692
ITGA5,8,10,10,10,10,10,9,9,10,9,9,1,9,7,10,9,10,10,2.2657549045135954
MAN2B1,10,10,9,8,10,10,9,9,9,9,9,10,10,10,9,10,10,9,-3.0690602342945112
